unit,split,batch_idx,column,grad_mean_abs,grad_mean_abs_scaled,relative_raw_score,relative_scaled_score
full_e2e,train,0,open,18511.43359375,883708.4720165879,1.0,1.0
full_e2e,train,0,high,14566.982421875,724034.1615599021,0.7869181145858546,0.8193133646299494
full_e2e,train,0,low,20079.775390625,933200.4835996777,1.0847228708102066,1.0560049078970024
full_e2e,train,0,close,24024.1875,1157282.5506913662,1.297802646042026,1.3095750321941502
full_e2e,train,0,volume,4.9225200304814365e-11,0.003142313305049965,2.6591781806371944e-15,3.5558257101228535e-09
full_e2e,train,1,open,0.00013939586642663926,0.003152367030056724,1.3783772214043928,1.4015249149255773
full_e2e,train,1,high,8.442815305897966e-05,0.0019468687190880157,0.8348442891811715,0.8655670452948495
full_e2e,train,1,low,0.00010113041935255751,0.0022492408065568487,1.0,1.0
full_e2e,train,1,close,0.0011092869099229574,0.02510541516427356,10.968874815556715,11.161728477932552
full_e2e,train,1,volume,5.192565821765527e-11,0.0017100935610598333,5.13452416692091e-07,0.7602981219594956
full_e2e,train,2,open,0.0001369225501548499,0.002420502408944314,1.3208925513097678,1.3489767615517303
full_e2e,train,2,high,8.66111513460055e-05,0.0015856601575797435,0.8355382261279726,0.8837085624824673
full_e2e,train,2,low,0.00010365911293774843,0.0017863246521587772,1.0,0.9955414361269518
full_e2e,train,2,close,0.0010512092849239707,0.018666992917860448,10.141021422354493,10.403352445010434
full_e2e,train,2,volume,5.4867149018589245e-11,0.0017943247637268456,5.293036710775176e-07,1.0
full_e2e,train,3,open,0.00012028594210278243,0.001959565249494505,1.4003041507411325,1.2469708185540511
full_e2e,train,3,high,7.733853999525309e-05,0.0012847343650863596,0.9003336273084472,0.8175416783235568
full_e2e,train,3,low,8.589986828155816e-05,0.0013791874563505169,1.0,0.8776469739032828
full_e2e,train,3,close,0.0009544838103465736,0.015581180667030292,11.111586425464772,9.91509602214948
full_e2e,train,3,volume,5.098242314427459e-11,0.0015714603905220142,5.93509910599246e-07,1.0
full_e2e,train,4,open,0.00012809631880372763,0.00269344836642893,1.3386293267651215,1.0503155369176522
full_e2e,train,4,high,8.24829694465734e-05,0.0017891881179687569,0.861961708899956,0.6976974580962787
full_e2e,train,4,low,9.569215035298839e-05,0.0019679295651630485,1.0,0.7673980402270646
full_e2e,train,4,close,0.0010080996435135603,0.021263198213206103,10.534820670189674,8.291626350164645
full_e2e,train,4,volume,4.8804876806585185e-11,0.002564418283607761,5.100196476571398e-07,1.0
full_e2e,train,5,open,14244.2060546875,198322.09926543292,1.0,1.0
full_e2e,train,5,high,11209.0224609375,160170.9763446506,0.7869180225210812,0.8076305007758056
full_e2e,train,5,low,15451.017578125,211092.78481593728,1.0847229757000294,1.0643936585877511
full_e2e,train,5,close,18486.173828125,257913.07928620093,1.2978030335387873,1.3004757424487114
full_e2e,train,5,volume,5.528492594275569e-11,0.0017605918100289941,3.8812220021601315e-15,8.877436334881825e-09
full_e2e,train,6,open,51817.4765625,801118.5988525003,1.0,1.0
full_e2e,train,6,high,40776.13671875,648226.7355725951,0.7869186117075305,0.80915202380908
full_e2e,train,6,low,56207.64453125,851521.2962762751,1.0847236928539885,1.0629154004113375
full_e2e,train,6,close,67248.9609375,1041860.7688068375,1.2978046288376703,1.3005075282226246
full_e2e,train,6,volume,3.734022466228559e-11,0.0016409037758295525,7.206106344689987e-16,2.0482657351607325e-09
