ratio_pct,ratio_label,attacker,metric,delta_mean,delta_std,degradation_mean,degradation_std
1,1%,FGSM,annualized_excess_return_with_cost,-0.2025879614546973,0.0374455118771581,0.2025879614546973,0.0374455118771581
5,5%,FGSM,annualized_excess_return_with_cost,-0.2530968996998298,0.0463076222975014,0.2530968996998298,0.0463076222975014
10,10%,FGSM,annualized_excess_return_with_cost,-0.3312588013912826,0.0124590466704438,0.3312588013912826,0.0124590466704438
1,1%,FGSM,max_drawdown_with_cost,-0.0426188062620575,0.0137789974707867,0.0426188062620575,0.0137789974707867
5,5%,FGSM,max_drawdown_with_cost,-0.049301519522546,0.0046111320511594,0.049301519522546,0.0046111320511594
10,10%,FGSM,max_drawdown_with_cost,-0.0499693155298278,0.0103831188339364,0.0499693155298278,0.0103831188339364
1,1%,FGSM,rank_ic_mean,-0.0027614769887984,0.0001242192413096,0.0027614769887984,0.0001242192413096
5,5%,FGSM,rank_ic_mean,-0.0130979901840351,0.0001459254062572,0.0130979901840351,0.0001459254062572
10,10%,FGSM,rank_ic_mean,-0.0254376876046215,0.000472553719004,0.0254376876046215,0.000472553719004
1,1%,FGSM,information_ratio_with_cost,-1.353756772400562,0.3213167164106633,1.353756772400562,0.3213167164106633
5,5%,FGSM,information_ratio_with_cost,-1.7747215318345435,0.3547269869020741,1.7747215318345435,0.3547269869020741
10,10%,FGSM,information_ratio_with_cost,-2.3932043933440243,0.0900029117112005,2.3932043933440243,0.0900029117112005
1,1%,PGD,annualized_excess_return_with_cost,-0.3013856614583959,0.0198289692112203,0.3013856614583959,0.0198289692112203
5,5%,PGD,annualized_excess_return_with_cost,-0.3623606335521026,0.035000513939741,0.3623606335521026,0.035000513939741
10,10%,PGD,annualized_excess_return_with_cost,-0.4128487517007778,0.0232809581878403,0.4128487517007778,0.0232809581878403
1,1%,PGD,max_drawdown_with_cost,-0.0438124293854485,0.0161732053648103,0.0438124293854485,0.0161732053648103
5,5%,PGD,max_drawdown_with_cost,-0.0543954326043674,0.0039768908284701,0.0543954326043674,0.0039768908284701
10,10%,PGD,max_drawdown_with_cost,-0.0661082500027993,0.0140803516867547,0.0661082500027993,0.0140803516867547
1,1%,PGD,rank_ic_mean,-0.0030775485869503,0.0001243948375887,0.0030775485869503,0.0001243948375887
5,5%,PGD,rank_ic_mean,-0.0145083954460271,0.0001860156776834,0.0145083954460271,0.0001860156776834
10,10%,PGD,rank_ic_mean,-0.0281422446848843,0.0004944287972518,0.0281422446848843,0.0004944287972518
1,1%,PGD,information_ratio_with_cost,-2.138249210533388,0.1663551103685218,2.138249210533388,0.1663551103685218
5,5%,PGD,information_ratio_with_cost,-2.6983007426915195,0.2908056921326385,2.6983007426915195,0.2908056921326385
10,10%,PGD,information_ratio_with_cost,-3.0935101315678395,0.1923614206533856,3.0935101315678395,0.1923614206533856
