metric,value,comparison,attacker,seed
topk_overlap,0.64,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.58,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.4,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.04,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.82,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.68,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.8,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.16,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.24,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.14,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.08,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.06,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.02,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.06,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.22,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.24,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.12,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.12,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.16,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.18,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.2,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.4,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.28,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.48,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.18,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.06,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.24,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.16,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.18,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.58,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.08,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.04,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.04,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.08,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.12,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.12,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.14,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.0,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.04,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.08,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.14,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.14,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.36,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.12,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.1,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.08,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.14,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.38,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.06,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.0,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.08,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.32,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.22,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.58,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.18,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.2,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.22,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.06,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.2,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.26,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.22,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.44,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.2,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.26,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.2,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.22,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.38,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.16,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.0,partial_fgsm_vs_partial_clean,FGSM,0
topk_overlap,0.0,partial_fgsm_vs_partial_clean,FGSM,0
