tag,lambda_ret,lambda_candle,clean_loss,fgsm_loss,pgd_loss,objective_clean,objective_fgsm,objective_pgd,ret_penalty_pgd,candle_penalty_pgd,strict_attack_success_fgsm,strict_attack_success_pgd,physical_constraints_satisfied_pgd
ret0.7_candle0.2,0.7,0.2,0.0338435098528862,0.10416337847709656,0.10577646642923355,0.0338435098528862,-3.486175775527954,0.051626548171043396,0.06803132593631744,0.03263995796442032,False,True,True
ret0.7_candle0.4,0.7,0.4,0.0338435098528862,0.10416337847709656,0.10397902131080627,0.0338435098528862,-3.662053346633911,0.04663977026939392,0.06691868603229523,0.026240432634949684,False,True,True
ret0.7_candle0.3,0.7,0.3,0.0338435098528862,0.10416337847709656,0.10470551252365112,0.0338435098528862,-3.5741145610809326,0.04554682970046997,0.0712340846657753,0.030982740223407745,False,True,True
ret0.7_candle0.5,0.7,0.5,0.0338435098528862,0.10416337847709656,0.10383791476488113,0.0338435098528862,-3.7499918937683105,0.0448458194732666,0.06613557040691376,0.025394391268491745,False,True,True
ret0.8_candle0.2,0.8,0.2,0.0338435098528862,0.10416337847709656,0.10577091574668884,0.0338435098528862,-3.9739561080932617,0.04233085364103317,0.0711803063750267,0.032479070127010345,False,True,True
ret0.8_candle0.4,0.8,0.4,0.0338435098528862,0.10416337847709656,0.10394775867462158,0.0338435098528862,-4.149833679199219,0.03993237763643265,0.06690289825201035,0.026232652366161346,False,True,True
ret0.8_candle0.5,0.8,0.5,0.0338435098528862,0.10416337847709656,0.10350332409143448,0.0338435098528862,-4.237772464752197,0.03831714391708374,0.0657387226819992,0.025190403684973717,False,True,True
ret0.8_candle0.3,0.8,0.3,0.0338435098528862,0.10416337847709656,0.10470487177371979,0.0338435098528862,-4.06189489364624,0.0365314744412899,0.07359980046749115,0.030978519469499588,False,True,True
ret0.9_candle0.2,0.9,0.2,0.0338435098528862,0.10416337847709656,0.10547740757465363,0.0338435098528862,-4.46173620223999,0.03456363081932068,0.0715983584523201,0.032376281917095184,False,True,True
ret0.9_candle0.4,0.9,0.4,0.0338435098528862,0.10416337847709656,0.10350704938173294,0.0338435098528862,-4.637613773345947,0.03209509700536728,0.06789880245923996,0.025757577270269394,False,False,True
ret0.9_candle0.5,0.9,0.5,0.0338435098528862,0.10416337847709656,0.10354315489530563,0.0338435098528862,-4.725552558898926,0.02985573187470436,0.06791485100984573,0.025128118693828583,False,False,True
ret1.0_candle0.2,1.0,0.2,0.0338435098528862,0.10416337847709656,0.10546129941940308,0.0338435098528862,-4.949516773223877,0.028985923156142235,0.07000012695789337,0.0323762446641922,False,False,True
ret0.9_candle0.3,0.9,0.3,0.0338435098528862,0.10416337847709656,0.10439644008874893,0.0338435098528862,-4.549674987792969,0.028660248965024948,0.07400210201740265,0.03044768050312996,False,False,True
ret1.0_candle0.4,1.0,0.4,0.0338435098528862,0.10416337847709656,0.10341755300760269,0.0338435098528862,-5.125394344329834,0.02722441777586937,0.0658901035785675,0.025757577270269394,False,False,True
ret1.0_candle0.5,1.0,0.5,0.0338435098528862,0.10416337847709656,0.10344748198986053,0.0338435098528862,-5.2133331298828125,0.025776460766792297,0.06510698050260544,0.025128081440925598,False,False,True
ret1.0_candle0.3,1.0,0.3,0.0338435098528862,0.10416337847709656,0.10437623411417007,0.0338435098528862,-5.0374555587768555,0.022868672385811806,0.07240379601716995,0.03034588322043419,False,False,True
