metric,mean,std,min,max,negative_ratio,positive_ratio
attackable_count,50874.2,46.49408564538075,50811.0,50940.0,0.0,1.0
selected_available_count,50874.2,46.49408564538075,50811.0,50940.0,0.0,1.0
reference_clean__annualized_excess_return_with_cost,0.3558367573201774,3.3074585536510505e-16,0.35583675732017683,0.35583675732017767,0.0,1.0
reference_clean__information_ratio_with_cost,2.6534604663777004,3.58724037616909e-15,2.653460466377696,2.6534604663777053,0.0,1.0
reference_clean__max_drawdown_with_cost,-0.06930818385370116,2.1000903724951387e-16,-0.06930818385370136,-0.06930818385370086,1.0,0.0
reference_clean__rank_ic_mean,0.0753396735420719,0.0,0.0753396735420719,0.0753396735420719,0.0,1.0
partial_clean__annualized_excess_return_with_cost,0.3596307082933923,0.015450664371354082,0.338210109602982,0.37494553912894335,0.0,1.0
partial_clean__information_ratio_with_cost,2.66665096560662,0.1252343732553769,2.493615329988823,2.79169693021167,0.0,1.0
partial_clean__max_drawdown_with_cost,-0.06585597540572377,0.007412035210656766,-0.07252457257122874,-0.0554280683255573,1.0,0.0
partial_clean__rank_ic_mean,0.07534048175512388,1.480282997869163e-05,0.07531454071520083,0.07535117622179344,0.0,1.0
partial_fgsm__annualized_excess_return_with_cost,0.3595565764337872,0.03829917714017334,0.3193130640304159,0.4190270356697687,0.0,1.0
partial_fgsm__information_ratio_with_cost,2.72623907264575,0.35387423505697474,2.3687560488582537,3.252159305546087,0.0,1.0
partial_fgsm__max_drawdown_with_cost,-0.08429482600935048,0.012519607154930373,-0.09735667724121583,-0.06878076637752084,1.0,0.0
partial_fgsm__rank_ic_mean,0.0639634951411219,0.00019681750155156735,0.06372508166665432,0.06426738838219886,0.0,1.0
partial_pgd__annualized_excess_return_with_cost,0.26761234583729354,0.043849285619002365,0.21931309892945852,0.31311437851825996,0.0,1.0
partial_pgd__information_ratio_with_cost,2.055155801888238,0.32754582259533443,1.7096139486605224,2.4700191628726977,0.0,1.0
partial_pgd__max_drawdown_with_cost,-0.09811984018150956,0.017033737908457854,-0.12363185214188327,-0.07628703712278398,1.0,0.0
partial_pgd__rank_ic_mean,0.06420996837835116,0.00018551921251851232,0.06398626174132,0.06448195268520163,0.0,1.0
partial_clean_minus_reference_clean__annualized_excess_return_with_cost,0.00379395097321491,0.015450664371353819,-0.017626647717194854,0.01910878180876585,0.4,0.6
partial_clean_minus_reference_clean__information_ratio_with_cost,0.01319049922892015,0.12523437325537584,-0.15984513638887732,0.13823646383397215,0.4,0.6
partial_clean_minus_reference_clean__max_drawdown_with_cost,0.0034522084479773783,0.007412035210656899,-0.0032163887175277184,0.013880115528143944,0.4,0.6
partial_clean_minus_reference_clean__rank_ic_mean,8.082130519837527e-07,1.480282997869163e-05,-2.513282687106877e-05,1.150267972153951e-05,0.2,0.8
partial_fgsm_minus_partial_clean__annualized_excess_return_with_cost,-7.413185960510881e-05,0.04262264412945026,-0.054595183038985695,0.0599987524314467,0.6,0.4
partial_fgsm_minus_partial_clean__information_ratio_with_cost,0.059588107039129666,0.3598156777909638,-0.4229408813534161,0.5663230832547805,0.4,0.6
partial_fgsm_minus_partial_clean__max_drawdown_with_cost,-0.018438850603626718,0.0146174365751179,-0.04192860891565853,-0.006533204580120688,1.0,0.0
partial_fgsm_minus_partial_clean__rank_ic_mean,-0.01137698661400199,0.00019644975369541566,-0.011626094555139119,-0.01107749222509019,1.0,0.0
partial_pgd_minus_partial_clean__annualized_excess_return_with_cost,-0.09201836245609868,0.05728174871698021,-0.15563244019948483,-0.03299834210850827,1.0,0.0
partial_pgd_minus_partial_clean__information_ratio_with_cost,-0.6114951637183821,0.4159607784670917,-1.0820829815511475,-0.21581705941860863,1.0,0.0
partial_pgd_minus_partial_clean__max_drawdown_with_cost,-0.03226386477578578,0.02338459314784857,-0.06820378381632597,-0.004171025376434684,1.0,0.0
partial_pgd_minus_partial_clean__rank_ic_mean,-0.011130513376772724,0.00018343437412693,-0.011364914480473443,-0.010862927922087429,1.0,0.0
