metric,mean,std,min,max,negative_ratio,positive_ratio
attackable_count,50875.0,18.027756377319946,50846.0,50892.0,0.0,1.0
selected_available_count,50875.0,18.027756377319946,50846.0,50892.0,0.0,1.0
partial_clean_minus_reference_clean__annualized_excess_return_with_cost,-0.017520548305227802,0.027886155965119223,-0.051297710944371,0.0119501306143449,0.6,0.4
partial_clean_minus_reference_clean__max_drawdown_with_cost,0.00013332242180207985,0.0053847531581023055,-0.0066727898945503,0.0064585604723725,0.6,0.4
partial_clean_minus_reference_clean__rank_ic_mean,0.00016669678717617722,0.00016543118159004794,-1.8800834260535024e-06,0.0003627444079262,0.2,0.8
partial_clean_minus_reference_clean__information_ratio_with_cost,-0.09017526991737282,0.22266324853988947,-0.3194805974662409,0.1559779701754746,0.6,0.4
partial_fgsm_minus_partial_clean__annualized_excess_return_with_cost,-0.2530968996998298,0.046307622297501426,-0.2997651400957899,-0.1789256003118348,1.0,0.0
partial_fgsm_minus_partial_clean__max_drawdown_with_cost,-0.04930151952254602,0.004611132051159458,-0.0550712405956026,-0.0424315969951882,1.0,0.0
partial_fgsm_minus_partial_clean__rank_ic_mean,-0.013097990184035119,0.00014592540625728864,-0.0132884983983988,-0.0129575302002298,1.0,0.0
partial_fgsm_minus_partial_clean__information_ratio_with_cost,-1.7747215318345435,0.3547269869020741,-2.1357568045808337,-1.204018247735013,1.0,0.0
partial_pgd_minus_partial_clean__annualized_excess_return_with_cost,-0.3623606335521026,0.03500051393974107,-0.4005679217849842,-0.328913832763726,1.0,0.0
partial_pgd_minus_partial_clean__max_drawdown_with_cost,-0.054395432604367445,0.003976890828470179,-0.0605773605235573,-0.0498461168666323,1.0,0.0
partial_pgd_minus_partial_clean__rank_ic_mean,-0.014508395446027101,0.00018601567768348635,-0.0147622771020849,-0.0143398501746657,1.0,0.0
partial_pgd_minus_partial_clean__information_ratio_with_cost,-2.6983007426915195,0.2908056921326387,-3.018505781534643,-2.389197441726551,1.0,0.0
